job_link,job_name,job_text,job_company,job_location,job_type,job_date
https://fr.indeed.com//rc/clk?jk=f02d26eaa5ee3dc6&bb=QSfW_QaZDI9rh0i_55ljfHQ9IHfp7ijyoZ94F_BYxLN2lAH3nbJ2bbSvZ0525Hy6dEyn8e6bP3eRbWR9Y7XaLq-gW7_QtvTViv9LmXCP9-8NJmx1ep3uV-4jtGEaHc5K&xkcb=SoCv67M3-SvA5NTToR0LbzkdCdPP&fccid=b374d2575a883050&vjs=3,Data Analyst Transport H/F,"Bouygues Construction Matériel apporte son savoir-faire sur tout type de matériel (grues, coffrages, installations électriques,...) pour l'ensemble des chantiers de Bâtiment et Travaux Publics en France et à l'international. Nous sommes engagés en faveur de la diversité et ouverts à tous les talents.  Rattaché(e) au service transport France, vous aurez pour missions : Collecte, Exploite, et interprète les données de l’activité transport dans le cadre de tous les déplacements de matériel en garantissant la qualité de service, la réactivité et la rentabilité de l’activité.  Management de la relation transporteurs :Réalise et organise les revues transporteurs, accompagné des chargés et des techniciens transportsSuit les plans d’actions afin d’améliorer la qualité de service des transporteursEtablit et pilote les indicateurs de performance (Scorecard transporteurs) Garant des données du service transport :Collecte et centralise des données relatives aux activités de transport (volumes, délais, coûts, etc.).Élabore les rapports périodiques de performance du service transportAnalyse les données pour identifier les tendances, les points forts et les axes de progrès du service transport.Suit les indicateurs de performance (KPIs) pour évaluer l'efficacité opérationnelle et la qualité de service, en étroite collaboration avec les services MatPerf et GestionAnalyse les écarts logistiques, les remontées des dysfonctionnements et les communique auprès des autres lignes de produit, et suit les plans d’actionsVérifie les données recettes à la gestionSuit en amont et aval les émissions de CO2 du service transport Veille au contrôle de la facturation des transporteurs :Crée les commandes d’achatsCommunique les données au SI AchatContrôle les montants des prestations de transports via un relevé Bimensuel / Mensuel avec les transporteursCalcule les surcharges carburant pour les transporteursTransmet les bons de commandes aux transporteursRéceptionne les commandesContrôle les factures transmises par les transporteurs et rapprochement des prix de SAP / Dashdoc et Suivi quotidien Suivi Parc Propre Chilly :Veille au suivi des contrôles des véhicules et équipements (ERP MAT)Suit les coûts d’exploitation par camion (entretien, réparation...)Suit les compteurs d’heures (y compris modulation) des compagnons chauffeurs Diplômée d'un Master, vous êtes à la recherche d'un CDI en tant que Data Analyst. Vous faites preuve de rigueur, vous avez une aisance relationnelle et faites preuve de réactivité, ce poste est fait pour vous !  Une connaissance du BTP et du Transport est indispensable.",Bouygues Construction Matériel,Chilly-Mazarin (91),CDI,2024-07-10
https://fr.indeed.com//rc/clk?jk=0793e3b3707f53d4&bb=QSfW_QaZDI9rh0i_55ljfA5l_jBaFHyKqmE_vJ1xTw3DH-PdBBxyXHss3nw9gZau8yN4sEHGJ2a_fODrJFy9qIaz49JiqEjmAnmHG8OufvvI011Ur0nF_WHGWtieNG7A&xkcb=SoAb67M3-SvA5NTToR0KbzkdCdPP&fccid=9474332c7222b8d2&vjs=3,Data analyst F/H,"Détail de l'offre Informations générales Description du poste Intitulé du poste  Data analyst F/H Contrat  CDI Catégorie socio-professionnelle  Ingénieurs & Cadres Temps de travail  Temps complet Télétravail  Partiel Description de la mission Au sein d’ALKERA SAS, structure de tête de notre groupe, la Direction des Opérations du Groupe renforce ses équipes et recrute un Data Analyst (H/F). La Direction des Opérations du Groupe composée d’environ 100 personnes gère 3 entités opérationnelles dont 2 liées à Polyexpert France, filiale spécialisée dans l’expertise de Dommages aux biens et 1 équipe de renfort administratif. La Direction des Opérations du Groupe a un rôle de chef d’orchestre qui doit s’assurer que la symphonie opérationnelle soit la plus juste possible. Outre la gestion de ses entités opérationnelles, les activités de la Direction des Opérations du Groupe reposent sur 5 piliers vis-à-vis des filiales du groupe : le suivi opérationnel, la gestion de la qualité, la gestion des projets métiers en lien avec notre DSI, la gestion de la relation client et l’expérience clients. Le poste de DATA ANALYST est rattaché au Directeur des Opérations du Groupe. Vous rejoindrez une équipe dynamique et enthousiaste. Au sein de la Direction des Opérations du Groupe, vous serez amené à :Concevoir des outils de pilotageMaintenir et faire évoluer les outils de pilotage existantEditer et mettre en forme les données de pilotage de nos différents clientsPréparer les supports de Comité de Pilotage de nos différents clients (plusieurs par mois)Concevoir, implémenter et développer des tableaux de bord, des reportings de performance, d'analyse de données ou de visualisations de données (Power BI, Tableau…)Rencontrer les parties prenantes de l'entreprise pour recenser les besoins Accompagner nos différentes filiales et nos clients sur leurs différents besoins de traitement de données, d’analyses et de mise en place de reportingComprendre, recueillir et analyser les besoins des clientsEchanger avec les clients pour analyser les mesures de performance Information complémentaire / AvantagesComplémentaires santés (mutuelle et prévoyance)Titres restaurantIntéressement Profil Formation Bac +5, école d’ingénieur, école de commerce et / ou universitaire (data science, gestion de projets, système d’informations, etc.)Vous justifiez de 4 à 5 ans d'expérience, de préférence dans le secteur de l’assurance ou de l’expertise en assurance,Au moins une expérience prouvée dans l’univers de la Data Analyse, l’utilisation d’outils d’analyse de données et la préparation de supports de comité de pilotage. Localisation du poste Localisation du poste  Europe, France, Ile-de-France Lieu     Clichy (92)    Zone de déplacement  Nationale Critères candidat Diplôme  Master / diplôme d'études approfondies / diplôme d'études supérieures spécialisées / diplôme d'ingénieur Spécialisation  Management de projet Niveau d'expérience min. requis  2-5 ans",ALKERA,Clichy (92),"CDI, Temps plein",2024-07-12
https://fr.indeed.com//rc/clk?jk=92b3c6db22ecb824&bb=QSfW_QaZDI9rh0i_55ljfA7YsGl7gn38sEHrY_816UqZ0an39OD-HEfZpLEFIHl1T--bjAAOs4D-vBxFQsY04xNpyiqkWn3LSDQ28qp8ytrSyZb5Xh3qEMkizguqbpYA&xkcb=SoCG67M3-SvA5NTToR0JbzkdCdPP&fccid=c8e717ccc640a95b&vjs=3,Junior Data Analyst H/F,"Lectra SA            Junior Data Analyst H/F              Notre département Business Développement groupe- Consommables et Pièces basé à Cestas/Bordeaux recherche une personne motivée et axée sur la précision et le détail des données pour se joindre à notre équipe en tant qu’Analyste Données Business Junior / Junior Data Analyst.              MISSIONS             Sous la responsabilité du VP Business Development Consumables and Parts, vos missions sont les suivantes :             Saisir et mettre à jour les données commerciales, notamment la tarification dans SAP. Participer à la maintenance et au développement des rapports et tableaux de bord développés sous Power BI,Effectuer des analyses opérationnelles ponctuelles pour appuyer la prise de décisions stratégiques,Collaborer avec des équipes inter-fonctionnelles pour assurer l’exactitude et l’intégrité des données,Participer à des projets visant à améliorer les processus et les systèmes liés à l’analyse opérationnelle et aux rapports,Procéder à l’exécution d’analyses commerciales ad hoc pour suivre nos activités et prendre les mesures nécessaires afin d’atteindre nos objectifs de ventesPROFIL             De formation Bac +3 à Bac+ 5 en université ou école de commerce, vous disposez de compétences intermédiaires ou avancées dans Excel.                         Vous faites preuves d’excellentes compétences en communication et en relations interpersonnelles, mais également de solides capacités d’analyse et de résolution de problématiques.                          Vous avez l’habitude de travailler en équipe et en autonomie.                          Une connaissance de SAP et de PowerBI est un plus.                          Vous avez un anglais opérationnel voir courant.             Ce que Lectra vous propose ?Un environnement de travail dynamique avec des opportunités de développement professionnelUne activité très dynamique et cruciale pour l’entreprise créant un travail d’équipe avancé basé sur un soutien et une forte collaboration.Travailler dans un environnement international, multiculturel (32 nationalités) et agileDes locaux refaits à neuf récemment sur un site boisé de 12 hectaresUn CSE attractif proposant des subventions pour les voyages, activités culturelles et sportives…Un restaurant d’entreprise70 jours de télétravail par an",Lectra,Cestas (33),,2024-07-11
https://fr.indeed.com//rc/clk?jk=965d2d27c6c5ec6e&bb=QSfW_QaZDI9rh0i_55ljfGYh8Ar0dT95_HaZBRHkenxfPl41SYGrpo0xy8mGbH9zja_sTAgac_IkkNqGszl-wyEmgEhcTQRGxbFD7Ukx-hFz9y6qI2yxW6Oc7UcgBIer&xkcb=SoAy67M3-SvA5NTToR0IbzkdCdPP&fccid=ea3f23b3f989f289&vjs=3,Data Analyst (H/F),"Lille       CDI        Publiée il y a plus de 7 heures   +5ans d'expérience demandéeDescription du poste    En tant que Data Analyst Expert (F/H), venez renforcer notre équipe lilloise en participant aux activités suivantes :   Construire des reportings sous PowerBi Elaborer les requêtes SQL permettant la création de KPIChallenger les requêtes existantes pour aider à développer la performanceAjuster les reportings aux besoins des métiersInterlocuteur DATA dans le cadre de la mise en œuvre de projets Stack technique : PowerBi   Description du profil    Titulaire d'un diplôme allant de Bac+2 à Bac+5 dans le domaine informatique, vous bénéficiez d'une expérience solide de 4 à 5 ans dans des fonctions similaires qui vous ont permis de développer des connaissances techniques fortes sur PowerBi et l’analyse de données.     Vos expériences vous dotent d’un véritable esprit d’équipe et vous savez faire preuve d’une réelle organisation. Votre esprit analytique vous permet de saisir les enjeux liés aux besoins des métiers et savez adaptez vos solutions. Votre intérêt du travail collaboratif se manifeste par votre capacité à partager efficacement votre savoir-faire   CompétencesPOWERBI",Infogene,Lille (59),CDI,2024-07-12
https://fr.indeed.com//rc/clk?jk=ed41fb1cfd983ccb&bb=QSfW_QaZDI9rh0i_55ljfJnSUP1SbS7-JXgzvcO6ZLvClHAxkoHerFElgG6LZj0DmekroBZCrzYWZ15j1IHFM6lqTrNvmRH4r0jMsA2MkkoUbzINhcLZ8L6yBQYd0Mf3&xkcb=SoC867M3-SvA5NTToR0PbzkdCdPP&fccid=9852370096dc699e&vjs=3,CDI - Hyperviseur / Data Analyst (F/H),"Identifiant de la demande: 31678          Ville: PARIS          Département/Région: 75          Pays: Fr     Vous êtes motivé :pour mettre vos compétences au service d’un acteur majeur de la transition énergétique, expert et distributeur du gaz naturel ?pour participer à l’avenir de la distribution du gaz naturel (compteur communicant, technologies du réseau intelligent, développement du biogaz et du GNV, …) ?Vous souhaitez acquérir un véritable savoir-faire technique gazier dans une entreprise qui investit dans les innovations digitales ?Rejoignez-nous à GRDF !GRDF, filiale indépendante d’ENGIE, est le principal gestionnaire de réseau de distribution de gaz naturel en France.GRDF distribue le gaz naturel à plus de 11 millions de clients, pour qu’ils disposent du gaz quand ils en ont besoin, quel que soit leur fournisseur.Pour cela, et conformément à ses missions de service public, GRDF conçoit, construit, exploite, entretient le plus grand réseau de distribution d’Europe (198 886 km) et le développe dans plus de 9 500 communes, en garantissant la sécurité des personnes et des biens et la qualité de la distribution.Chaque jour, ce sont 11 431 femmes et hommes qui s'investissent dans leur mission. Partout en France, des équipes sont prêtes à intervenir 24h/24 et 7j/7 pour fournir le meilleur service possible.Au sein de la Région Ile-de-France, GRDF recrute sur l’emploi de : HYPERVISEUR (F/H)Poste basé à Paris (75)La délégation Programmation et Planification des Interventions (DPPI) est composée de quatre agences. Trois d’entre elles ont la charge de planifier et de programmer les interventions pour les Techniciens Gaz des territoires Paris, IDF Ouest et IDF Est. La quatrième agence pilote les marchés confiés à des prestataires externes.La cellule Hypervision est au service de la performance de la délégation et de la région, au périmètre de ce qui constitue son cœur de métier : la planification et la programmation des interventions.A ce titre, vous aurez, entre autres, la responsabilité de :Contribuer à la conception et à la production du modèle d’activités opérationnel de la région.Contribuer à la conception et à la production des différentes vigies et indicateurs de performance des agences d’intervention et de planification.Qualifier les sollicitations émanant des différentes agences partenaires et d’organiser leur prise en charge.Mettre en place des outils de support métier, leviers de performance pour la délégation et la région.Faciliter l’appropriation et le portage de ces productions auprès des délégations partenaires.Garantir une collaboration et un partage d’informations fluides et efficaces entre les différentes agences. Pour en savoir plus, n’hésitez pas à consulter notre site internet : En savoir plus sur GRDFEt notre vidéo YouTube : https://youtu.be/5WcS8_Fix0oVos compétencesVous savez travailler en mode projet : organiser un projet, vous fixer des échéances, échanger avec les différents membres de votre équipe et communiquer régulièrement sur l'avancée de vos travaux.Vous avez des compétences en gestion de base de données et en conception d’outils (Excel, PowerBI, SQL).Vous savez interpréter et analyser les données que vous manipulez pour en tirer des conclusions utiles.Vous apprenez rapidement et aimez imaginer/trouver des solutions.Vous êtes constructif, curieux et déterminé.Vous êtes force de proposition.Vous êtes à l’aise aussi bien à l’écrit qu’à l’oral pour faire la promotion du travail de votre équipe avec vos interfaces internes et externes à la délégation.Vous êtes rigoureux et organisé, vous disposez de capacités d’analyse et de synthèse.Vous disposez des qualités humaines d'écoute ainsi que d’un bon relationnel.Vos qualificationsDiplômé Bac+5 dans le domaine des statistiques, data analyst, informatique….Doté d’1 à 3 ans d’expérience.L'emploi est régi par l'obligation de respect des engagements du code de bonne conduite GRDF, lequel est constitué des principes d'indépendance, de non-discrimination, de protection des informations commercialement sensibles, d'objectivité et de transparence. En tant qu'employeur responsable, GRDF valorise la diversité des profils de ses collaborateurs. Son engagement en faveur de l'égalité des chances est reconnu par le Label Diversité.     Unité commerciale: GBU Networks          Division: DIR RESEAUX ILE DE FRANCE          Entité légale: GRDF          Type de contrat: CDI          Type d'emploi: Temps Plein          Expérience professionnelle: Junior (expérience < 3 ans)          Niveau d'instruction: Bac+4 / Bac + 5 (Master, MBA)",GRDF,Paris (75),"CDI, Temps plein",2024-07-12
https://fr.indeed.com//rc/clk?jk=15e77c0c48ed6caa&bb=QSfW_QaZDI9rh0i_55ljfHQ9IHfp7ijyqEj6lGjo07U9dwa_OglwJusiw7gBHDoIhXRJSrz5PILyI8bAp9kuh_ntBCNC8Emd2ah6EIooT8x5HO3_D4aY91bkSgc8uNMz&xkcb=SoAI67M3-SvA5NTToR0ObzkdCdPP&fccid=289f50e2823f59e1&cmp=EBP-Informatique&ti=Analyste&vjs=3,Data Analyst en alternance H/F,"POURQUOI REJOINDRE EBP ?En rejoignant EBP, vous intégrez un environnement de travail stimulant, marqué par des projets collaboratifs d'envergure, innovants et audacieux. L'adaptabilité, l'esprit d'équipe, l'expertise, et la réactivité sont notre ADN, et caractérisent l'ensemble de nos collaborateurs !Êtes-vous prêts à relever de nombreux défis avec nos 740 collaborateurs ?Chez EBP, ça bouge ! L'année de nos 40 ans est marquée par la sortie d'une nouvelle génération de produits : rejoignez nos équipes de passionnés, qui partagent la même culture d'entreprise. Tous ensemble, nous évoluons dans la bienveillance, l'entraide et nous partageons régulièrement des moments de convivialité.Rejoindre EBP en alternance, c'est faire partie d'une équipe bienveillante, être formé sur un métier (développement, marketing, commerce, comptabilité...) et valider son parcours par une expérience valorisante sur le marché du travail.EBP vous confiera des missions intéressantes et vous accompagnera dans votre montée en compétences pour vous préparer aux défis de demain ! Tuteurs, managers, collègues, et équipe RH sont présents pour vous intégrer et vous accompagner tout en vous faisant confiance.On vous en dit plus sur l'équipe :Au sein du Pôle Data, directement rattaché à la Responsable d'équipe Data Analyst, vous participez au contrôle et à l'analyse de données pour les transformer en informations exploitables par l'entreprise.LES RESPONSABILITES :Dans le cadre de votre alternance, vos missions seront les suivantes :Contrôler la qualité des données (unicité, véracité, fiabilité…)Analyser les informations chiffrées générées par l'activité de l'entreprise et en faire ressortir les KPI pertinentsAccompagner les demandeurs dans l'expression de leurs besoinsSynthétiser et vulgariser les informations pour les rendre accessibles et diffuser la culture dataVOTRE PROFIL :Vous préparez un diplôme (Bac +4 à Bac +5) spécialisé dans le domaine de la Data et vous souhaitez valider votre parcours par une expérience valorisante sur le marché du travail.Vous maîtrisez et travaillez avec les outils de BI (Power BI, Qlik, Tableau…).D'excellentes qualités analytiques et relationnelles sont indispensables à la réussite de votre alternance.Cette alternance est à pourvoir dans le cadre d'un contrat d'apprentissage.LES PROCHAINES ÉTAPES DU RECRUTEMENT :Un échange par téléphone, environ 15 minUn questionnaire de personnalité à distance, 45 minUn entretien dans nos locaux ou en visio, environ 1hBienvenue chez EBP !3 étapes, 2h et un nouveau poste !LES AVANTAGES CHEZ EBP :Accord TélétravailTitres-restaurant d'une valeur de 9,87€ /jourRTTMutuelle de groupe : 66% de prise en charge patronaleTransport en commun : 50% de prise en charge de l'abonnementCSECongés de révisionOpportunités de recrutement à l'issue de l'alternanceType d'emploi : Temps plein, AlternanceRémunération : à partir de 21 000,00€ par anAvantages :Prise en charge du transport quotidienRTTTravail à domicile occasionnelProgrammation :Du lundi au vendrediLieu du poste : En présentiel",EBP Informatique,78120 Rambouillet,"Temps plein, Alternance",2024-07-11
https://fr.indeed.com//rc/clk?jk=41a00e64fa92b040&bb=QSfW_QaZDI9rh0i_55ljfGII9YM40o8gfE4adI8M-46w233UJ2BhKqCHplEIkw6khEATpBgEXIGiV1mWnNBChx9xysPQjFaH3gE5gJeBMwWB2JhvmZYsEg%3D%3D&xkcb=SoCV67M3-SvA5NTToR0NbzkdCdPP&fccid=8d03ab2757cda541&vjs=3,,,,,,2024-07-10
https://fr.indeed.com//rc/clk?jk=b956f567c44c75e8&bb=QSfW_QaZDI9rh0i_55ljfOo2Xv05UkNMy-RJtqN2VDsyEmOpN6pEsWFHbg6B590Oh9R475quB7gaFIjiXrGX7kEhbdWB3nirMdyBRkyWlj755kxOqXFQQw%3D%3D&xkcb=SoAh67M3-SvA5NTToR0MbzkdCdPP&fccid=bfdac90a7574b77c&vjs=3,Alternant - Assistant Data Analyst H/F,"Depuis plus de 150 ans, Nestlé met son savoir-faire au service de l’alimentation et s’est fixé le dessein ambitieux d’améliorer la qualité de vie et contribuer à un avenir plus sain. Guidés par ces valeurs, les 10 000 collaborateurs de Nestlé en France cultivent l’esprit pionnier d’Henri Nestlé, et contribuent tous les jours à l’amélioration des produits d’une centaine de marques connues et reconnues. La France est le 1er marché européen de Nestlé, le 3e dans le monde et 70% des matières premières utilisées dans ses usines sont françaises. Envie de rejoindre le premier pôle d’expertises agro-alimentaires, Place à l’action ! C’est maintenant. Pour aujourd’hui et pour demain. En un coup d'oeil : Alternance Lieu : ISSY LES MOULINEAUX A compter de : Octobre 2024 Pour une durée de : 1 à 3ans Un management bienveillant et un parcours d’intégration organisé par votre manager, vous permettant d’évoluer dans un environnement agréable. Opportunités de carrières et accompagnement vers l’emploi avec le programme Nestlé Needs YOUth dans un univers varié avec un accès à de nombreux événements. Nous sommes labellisés Happy Trainees depuis 2014 et Engagement Jeunes depuis 2016. Notre proposition : Rejoindre Nestlé en France, c’est entrer dans le Premier Pôle d’expertises agro-alimentaire, une communauté inclusive, solidaire et vertueuse. Vous y trouverez du respect et de la considération pour vous épanouir à tous les niveaux. Au sein de la Direction Digital, l'équipe Data Gouvernance accompagne, développe et met à disposition des données externes en les intégrant dans notre environnement Snowflake. Travail sur données Cloud Azure, Snowflake, traitement dans dataBricks des bases SQL, Stockage Snowflale en liaison avec nos fournisseurs de données. Vos missions au quotidien : Actualisation de certains rapports existants pour proposer des améliorations techniques: Actualisation planifiées, Automatisation des extractions de données … Veille technologique: Proposition de solutions innovantes en matières de traitement de la donnée, intégration de programme (Code Python) Accompagnement des utilisateurs sur les rapports mis à dispostion Accompagner des solutions d'analyse intégrant des techniques de l'advanced analytic - Construction de Tutoriels et Mise A Disposition de documentation technique et Fonctionnelle Vos atouts pour réussir : Formation Ingénieur Généraliste / Data Management Bonne connaissance Excel , et Data. Analyse du besoin, capacité de reformulation, Esprit d'analyse Une bonne connaissance de l'outil Power BI est impérative, Des capacités à traiter les données sur des bases SQL et sur les plateformes Azur/Databricks/snowflake. Des connaissances en programmation en Python seraient un plus Vous êtes autonome, ouvert, sociable Un projet bien mené est un projet reconnu. La reconnaissance est une des valeurs clés de Nestlé C'est tout vous ? On est fait pour s'entendre ! Retrouvez le témoignage de nos alternants et stagiaires ici ! Intéressé(e) par cette offre et nos perspectives d’évolution ? Alors place à l'action ! Postulez dès maintenant, pour aujourd'hui et pour demain. Le talent n’a ni genre, ni couleur de peau, ni orientation sexuelle, ni croyance. L’inclusion des différences fait la force de Nestlé en France. Nous sommes signataire de la Charte de la Diversité et de la Charte de l’Autre Cercle. #entrepriseinclusive #WeAreNestle Pour en savoir plus sur notre politique en matière de diversité équité et inclusion, n’hésitez pas à consulter notre score « Mixity » : Mixity",Nestle Operational Services Worldwide SA,92130 Issy-les-Moulineaux,Alternance,2024-07-11
https://fr.indeed.com//rc/clk?jk=8ca90699945fd9b2&bb=QSfW_QaZDI9rh0i_55ljfEySpDPSIqxWlasB4LwNgqFUK9GrP5wdeYp2dT-UiHWrqevaTsGxbVEfy7MiG82mxybcovIJ9adMgqEIdtJjXtNmH3nyha-H77K0JVIkMbtV&xkcb=SoDI67M3-SvA5NTToR0DbzkdCdPP&fccid=2e0ffc80dd0e9fef&vjs=3,DATA ANALYST,"DATA ANALYST BIENVENUE CHEZ ELECTRO DEPOT   On n’est pas là pour parler de nous mais on se présente rapidement. Nous sommes 1 800 coéquipiers motivés (prêt.e à retenir tous les prénoms ? ) et on partage les mêmes valeurs : simplicité, solidarité et passion.  Promis, on ne vous racontera pas l’histoire de la maison (mais si ça vous intéresse, c’est juste ici : https://engagements.electrodepot.fr/une-aventure-humaine/). En deux mots, notre concept : proposer des prix bas, disponibles toute l’année dans plus de 115 magasins en France, Belgique & Espagne.  Et parce qu’ici comme dans nos magasins, on va à l’essentiel : on voulait juste vous dire que chez ELECTRO DEPOT, on se sent bien et on s’améliore chaque jour pour faire les choses bien : > Nous sommes la 6e entreprise où il fait bon vivre et travailler > Nous avons obtenu 2 étoiles au Label RSE Positive Workplace  Comme quoi on peut concilier petits prix et grandes valeurs ! Vous voulez vérifier par vous-même ? Bienvenue à la maison ! VOTRE MISSION SI VOUS L’ACCEPTEZ Le pôle Data au sein de la Direction de la Marque recherche un(e) Data Analyst en CDI à Faches-Thumesnil (59). Les missions seront les suivantes :Passer en revue les sources de données, contrôler la fiabilité des données de notre entrepôt de données.Création de tableaux de bord internationaux avec des outils de data visualisation.Piloter et analyser la base de donnéesMesurer et optimiser la performance de l’entreprise sur tous les pays où l’enseigne est présenteDiverses études concernent les clients, les produits, l’implémentation.Accompagner les différents métiers marketing & commerciaux dans l’analyse et la prise de décisions permettant une optimisation des actions.Cartographier et documenter l’ensemble des traitements et études en vue d'un usage par un tiers a posteriori.Accompagner les métiers pour plus d’autonomie dans l’utilisation des tableaux de bords C’EST VOUS QUE NOUS CHERCHONS ! Le ou la candidat.e parfait.e n’existe pas mais le bon profil, oui ! Vous enchaînez les réponses positives ? Quelque chose nous dit que vous seriez à votre place chez nous . > D’une formation niveau Bac+5 dans le domaine des Statistiques avec une réelle motivation pour le secteur de la distribution, vous avez 1 à 3 ans d’expérience sur un poste équivalent.   > Au cours de vos expériences, vous avez pu développer de solides compétences analytiques et un esprit de synthèse.   Vous êtes à l’aise en autonomie, savez gérer vos priorités et faire face à l’urgence.   Vous êtes également force de proposition.   Vous serez en lien avec de nombreux interlocuteurs, vous êtes donc bon communicant à l’écrit comme à l’oral.   La maîtrise de l’Anglais requise (lu, écrit, parlé).   > Vous avez connaissez :  Les différents langages de code (Python, SQL, R…)Au moins un outil de reporting (Data Studio, Tableau, Power BI) est un plusLa plateforme DataBricks est un plus (Spark)Les droits de collecte et d’usage des données et les normes associées (RGPD, Cnil…) Poste en CDI basé à Faches Thumesnil REFIND",Electro Depot,59155 Faches-Thumesnil,CDI,2024-07-06
https://fr.indeed.com//rc/clk?jk=ccaff496fe7c07ef&bb=QSfW_QaZDI9rh0i_55ljfHfaNVMXgPOo-zkqGyRxVk2AAzh7pAxFXoM8bI4X8qgamyYKgGBRKd6xWcwrNilMfN4yiOBjUlMzQe-PYQSmiTRT9kP8zO4hYQ%3D%3D&xkcb=SoB867M3-SvA5NTToR0CbzkdCdPP&fccid=1988cee6446b7ca5&vjs=3,Data Analyst (H/F),"Dans le cadre du développement de notre pôle Décisionnel & Big Data, nous recherchons actuellement Un(e) Consultant(e) Data Analyst (H/F) pour répondre aux besoins de notre client bancaire.  ? MISSIONS  En tant que Data Analyst, vous serez amené(e) à : Développer et automatiser de nouveaux reports via SAS, TABLEAU DESKTOP & DATAIKU  Gérer les évolutions de KPI(s) dans les formats déjà existant au sein de la BU RETAIL  Valider les données de d?activité de la BU RETAIL lors des différents closing de fin de mois  Fournir des recommandations de process pour améliorer la qualité des datas dans les outils  Réaliser des analyses de données pour le métier  Profil candidat: De formation bac +4/5, vous avez minimum 5 ans d?expérience sur un poste similaire. De plus, vous avez acquis les savoir-faire / savoir-être suivants :  Expertise sur les études statistiques  Capacité à utiliser la bureautique et l?informatique relative au domaine d?intervention  Maîtrise des langages SAS & SQL  Maîtrise de Tableau, DATAIKU  Maîtrise d?Excel",Accelite,35000 Rennes,CDI,2024-07-06
